City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,praia da vitoria,38.7333,-27.0667,291.29,100,20,2.68,PT,1686622949
284,guledagudda,16.05,75.8,298.89,71,28,8.33,IN,1686622949
285,alaghsas,17.0187,8.0168,304.28,36,92,2.07,NE,1686622949
286,quarai,-30.3875,-56.4514,277.19,52,0,3.32,BR,1686622950
287,sol'-iletsk,51.1631,54.9918,288.61,71,98,9.2,RU,1686622950
288,ocean city,39.2776,-74.5746,295.25,91,71,1.79,US,1686622699
289,bam,29.106,58.357,303.41,18,0,4.99,IR,1686622951
290,poronaysk,49.2167,143.1167,281.35,98,100,1.67,RU,1686622951
291,san patricio,28.017,-97.5169,301.95,83,79,6.5,US,1686622951
292,ponta delgada,37.7333,-25.6667,292.55,100,75,4.63,PT,1686622856
293,kilju,40.9642,129.3278,294.8,66,87,2.11,KP,1686622952
294,mount pearl,47.5166,-52.7813,281.4,95,100,7.2,CA,1686622952
295,meadow lake,34.8014,-106.5436,298.86,12,3,5.25,US,1686622953
296,geraldton,-28.7667,114.6,289.38,59,0,5.66,AU,1686622953
297,egilsstadir,65.2653,-14.3948,279.1,87,0,1.54,IS,1686622953
298,miramar beach,30.3744,-86.3586,297.16,81,40,0.0,US,1686622954
299,pursat,12.3333,103.6667,304.5,56,99,1.47,KH,1686622954
300,utrik,11.2278,169.8474,300.88,80,31,8.23,MH,1686622954
301,pointe michel,15.25,-61.3833,300.71,78,15,5.72,DM,1686622955
302,kargasok,59.0556,80.8572,283.24,52,38,4.85,RU,1686622955
303,frontera,26.9333,-101.45,311.11,36,0,1.79,MX,1686622955
304,kara,9.5511,1.1861,295.6,92,100,0.78,TG,1686622956
305,mount pleasant,32.7941,-79.8626,297.23,96,0,3.09,US,1686622956
306,lubang,13.8584,120.124,302.28,78,60,8.7,PH,1686622956
307,wilsonton,-27.5387,151.9155,292.23,61,8,2.24,AU,1686622957
308,negara,-8.3151,114.6025,300.88,69,49,4.18,ID,1686622957
309,jieshi,22.8134,115.8257,301.79,74,98,3.36,CN,1686622788
310,yerofey pavlovich,53.9667,121.9667,282.2,93,100,2.14,RU,1686622958
311,picos,-7.0769,-41.4669,294.58,76,7,0.8,BR,1686622743
312,lobujya,27.95,86.8167,274.76,80,83,1.25,NP,1686622959
313,taoudenni,22.6783,-3.9836,306.87,11,59,3.81,ML,1686622959
314,verdal,63.7933,11.4817,286.17,76,94,1.62,NO,1686622959
315,zheshart,62.0731,49.5733,284.72,89,99,2.46,RU,1686622960
316,mzimba,-11.9,33.6,288.53,65,51,1.82,MW,1686622960
317,east london,-33.0153,27.9116,289.35,46,89,8.5,ZA,1686622961
318,sakaiminato,35.55,133.2333,300.11,83,40,2.06,JP,1686622805
319,zhlobin,52.8926,30.024,282.77,74,100,3.76,BY,1686622961
320,nizhnesortymskiy,62.4397,71.7603,280.42,58,19,5.19,RU,1686622961
321,xining,36.6167,101.7667,289.19,53,54,0.84,CN,1686622962
322,zabaykal'sk,49.6333,117.3167,303.34,22,96,4.39,RU,1686622962
